rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,dystopia_residual
49,Uzbekistan,Central and Eastern Europe,5.987,0.7359100000000001,0.50163,0.60848,0.28333,0.34326,2.34638
50,Italy,Western Europe,5.977,1.35495,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918
51,Ecuador,Latin America and Caribbean,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,2.77366
52,Belize,Latin America and Caribbean,5.956,0.87616,0.45569,0.51231,0.10770999999999999,0.23684000000000002,3.08039
53,Japan,Eastern Asia,5.921,1.3800700000000001,0.91491,0.46761,0.18985,0.10224,1.8058400000000001
54,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.57386,0.4052,0.11132,0.15011,2.49325
55,Moldova,Central and Eastern Europe,5.897,0.69177,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,3.38007
56,Russia,Central and Eastern Europe,5.856,1.2322799999999998,0.58991,0.32682,0.03586,0.027360000000000002,2.59115
57,Poland,Central and Eastern Europe,5.835,1.24585,0.69058,0.4519,0.055,0.14443,2.20035
57,South Korea,Eastern Asia,5.835,1.35948,0.88645,0.25168,0.07716,0.18824000000000002,2.35015
59,Bolivia,Latin America and Caribbean,5.822,0.79422,0.4697,0.50961,0.07746,0.21698,2.91635
60,Lithuania,Central and Eastern Europe,5.813,1.2692,0.64674,0.18929,0.0182,0.02025,2.60525
61,Belarus,Central and Eastern Europe,5.8020000000000005,1.1306200000000002,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2.3858200000000003
62,North Cyprus,Western Europe,5.771,1.31141,0.8414200000000001,0.43596,0.16577999999999998,0.26322,1.9344700000000001
63,Slovenia,Central and Eastern Europe,5.768,1.2994700000000001,0.79151,0.53164,0.03635,0.25738,1.79522
64,Peru,Latin America and Caribbean,5.742999999999999,0.9960200000000001,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2.73117
65,Turkmenistan,Central and Eastern Europe,5.6579999999999995,1.08017,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2.21489
66,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.66189,0.46145,0.05202999999999999,0.36951,2.20223
67,Libya,Middle East and Northern Africa,5.615,1.0668799999999998,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2.39374
68,Latvia,Central and Eastern Europe,5.56,1.2178799999999999,0.63952,0.27996,0.0889,0.17445,2.20859
69,Cyprus,Western Europe,5.546,1.31857,0.8488,0.29507,0.05227999999999999,0.27906,2.04497
70,Paraguay,Latin America and Caribbean,5.537999999999999,0.8937299999999999,0.58295,0.46235,0.07396,0.25296,2.16091
71,Romania,Central and Eastern Europe,5.528,1.1697,0.67602,0.36712,0.006790000000000001,0.12889,2.4518400000000002
72,Estonia,Central and Eastern Europe,5.517,1.2796399999999999,0.68098,0.41511000000000003,0.18519000000000002,0.08423,1.81985
73,Jamaica,Latin America and Caribbean,5.51,0.89333,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2.35682
74,Croatia,Central and Eastern Europe,5.4879999999999995,1.18649,0.70524,0.23906999999999998,0.04002,0.18434,2.52462
