rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,dystopia_residual
1,Switzerland,Western Europe,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997
2,Iceland,Western Europe,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.14145,0.4363,2.70201
3,Denmark,Western Europe,7.527,1.32548,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
4,Norway,Western Europe,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2.4653099999999997
5,Canada,North America,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997
6,Finland,Western Europe,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.41372,0.23351,2.61955
7,Netherlands,Western Europe,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657
8,Sweden,Western Europe,7.364,1.33171,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004
9,New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425
10,Australia,Australia and New Zealand,7.284,1.33358,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
11,Israel,Middle East and Northern Africa,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854
12,Costa Rica,Latin America and Caribbean,7.226,0.95578,0.8602700000000001,0.63376,0.10583,0.25497,3.17728
13,Austria,Western Europe,7.2,1.33723,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
14,Mexico,Latin America and Caribbean,7.187,1.02054,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003
15,United States,North America,7.119,1.3945100000000001,0.86179,0.54604,0.1589,0.40105,2.51011
16,Brazil,Latin America and Caribbean,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,3.26001
17,Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999
18,Ireland,Western Europe,6.94,1.33596,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757
19,Belgium,Western Europe,6.937,1.30782,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
20,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2.24743
21,United Kingdom,Western Europe,6.867000000000001,1.26637,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002
22,Oman,Middle East and Northern Africa,6.853,1.36011,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2.4748900000000003
23,Venezuela,Latin America and Caribbean,6.81,1.04424,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,3.1913099999999996
24,Singapore,Southeastern Asia,6.797999999999999,1.52186,1.02525,0.54252,0.4921,0.31105,1.8850099999999999
25,Panama,Latin America and Caribbean,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.0927,0.24434,2.84848
26,Germany,Western Europe,6.75,1.32792,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003
